スポット,レビュー数,URL
足立美術館,2121,https://www.jalan.net/kankou/spt_32206ah2140016658/
嚴島神社,7597,https://www.jalan.net/kankou/spt_34327ag2130013316/
出雲大社,3348,https://www.jalan.net/kankou/spt_32405ag2130014349/
松江城,1854,https://www.jalan.net/kankou/spt_32201af2120008910/
倉敷美観地区,3356,https://www.jalan.net/kankou/spt_33202ad2150017006/
原爆ドーム,3447,https://www.jalan.net/kankou/spt_34101af2170020394/
角島大橋,2284,https://www.jalan.net/kankou/spt_35201ae2192018664/
鳥取砂丘 砂の美術館,1211,https://www.jalan.net/kankou/spt_31201ae3302071620/
錦帯橋,1726,https://www.jalan.net/kankou/spt_35208ae2180022080/
玉造温泉,1259,https://www.jalan.net/kankou/spt_32306cd2110078292/
広島の路面電車,2929,https://www.jalan.net/kankou/spt_34100ad2250120420/
広島平和記念資料館,2509,https://www.jalan.net/kankou/spt_34101cc3290030617/
稲佐の浜,571,https://www.jalan.net/kankou/spt_32405ab2050007007/
元乃隅神社,769,https://www.jalan.net/kankou/spt_35211ag2132087497/
水木しげるロード,2651,https://www.jalan.net/kankou/spt_31204aj2200130471/
海上自衛隊呉史料館（てつのくじら館）,953,https://www.jalan.net/kankou/spt_34202ae3292036383/
弥山,1229,https://www.jalan.net/kankou/spt_34327ab2010002969/
宍道湖夕日スポット,742,https://www.jalan.net/kankou/spt_32307ab2082005710/
下関市立しものせき水族館・海響館,1295,https://www.jalan.net/kankou/spt_35201cc3320040593/
三朝温泉,748,https://www.jalan.net/kankou/spt_31364cd2110078424/
出雲日御碕灯台,640,https://www.jalan.net/kankou/spt_32405ae2190022715/
瑠璃光寺,634,https://www.jalan.net/kankou/spt_35203ag2130011201/
道の駅 萩しーまーと,947,https://www.jalan.net/kankou/spt_35204aa1032020651/
松江フォーゲルパーク,694,https://www.jalan.net/kankou/spt_32201ah3330157296/
呉市海事歴史科学館（大和ミュージアム）,1325,https://www.jalan.net/kankou/spt_34202ae3292021294/
松下村塾,457,https://www.jalan.net/kankou/spt_35204ae2180021981/
尾道,1328,https://www.jalan.net/kankou/spt_34205ad2150017090/
岡山後楽園,2134,https://www.jalan.net/kankou/spt_33201ah2140016497/
岡山城,1300,https://www.jalan.net/kankou/spt_33201af2120008911/
吉備津神社,639,https://www.jalan.net/kankou/spt_33201ag2130016112/
福山城,709,https://www.jalan.net/kankou/spt_34207af2120008914/
石見銀山遺跡,613,https://www.jalan.net/kankou/spt_32205af2170020559/
とっとり花回廊,544,https://www.jalan.net/kankou/spt_31382ah3332005675/
千光寺,773,https://www.jalan.net/kankou/spt_34205ag2130011154/
