スポット,山岳,高原・湿原・原野,湖沼,河川・峡谷,滝,海岸・岬,岩石・洞窟,動物,植物,自然現象,史跡,神社・寺院・教会,城跡・城郭・宮殿,集落・街,郷土景観,庭園・公園,建造物,動植物園・水族館,博物館・美術館,テーマ公園・テーマ施設,温泉,食
うさぎの島（大久野島）,0.4246878762381644,0.5327352434673259,0.546069018015562,0.4562606812903866,0.3928478483516501,0.6177419802469856,0.5206883235430585,0.6940129132685111,0.4904888131234225,0.5067879915537553,0.4813431113472664,0.4898646983560054,0.4193162225029735,0.5273226067407129,0.6184887650577143,0.5215907475892261,0.4704372873358726,0.6183898763735354,0.4437404689546086,0.5570287709307732,0.3884409972781426,0.5767994042811883
おもちゃ王国,0.3957582184996069,0.4298100914134921,0.4666743614549584,0.3790506214995366,0.3601946961814925,0.4098941802189867,0.4675337764264155,0.4895364625649174,0.4551371383182009,0.4343778197771418,0.4783951151964452,0.4773728420344627,0.472025789294255,0.5102191158683037,0.5434500794712623,0.5702231283005638,0.5461095478347875,0.6632249083595018,0.5820823145450726,0.7703527957677432,0.4032254719212639,0.4783926553489985
おりづるタワー,0.5565643542267424,0.5599891614777002,0.5078939152725648,0.4870785080548989,0.473858139764982,0.5484657015965086,0.5661319937010623,0.5397489954077225,0.5769438286330074,0.5354546716971269,0.6302807770558085,0.6369450220678599,0.6655112728066748,0.6704405546117107,0.6420367822357291,0.6326934665597834,0.7052119596625538,0.5806480408408995,0.6928741352202696,0.6741307356536599,0.4793076033347121,0.5315907755486112
お台場,0.5208249634432373,0.6173780099411676,0.6338418549506819,0.5547598891171754,0.4901858953875913,0.6911153971422525,0.6108948046393452,0.6627642799016145,0.5901055543929721,0.6095739842624085,0.5956822503449615,0.5340417647397273,0.6085406301495353,0.7180593736284293,0.7049799884079666,0.6569230090782976,0.683456106136397,0.656755260442947,0.6038000402398451,0.6958814687259057,0.4808046304508258,0.5893696334903039
お台場海浜公園,0.5120994388171188,0.6400074417524295,0.673262322827775,0.5986475861613496,0.5174008257689905,0.7559168148178018,0.6193783848462213,0.6784059702134152,0.5953525956266124,0.6247240507508635,0.5658992263668956,0.5187722602736579,0.5704442011303833,0.6360713764035895,0.6480966851860357,0.7051528980690132,0.6517749251203102,0.6429065639977675,0.5377184983977346,0.6491137362493746,0.4885340913930321,0.4894192666386859
しながわ水族館,0.449571144006533,0.5483725848221638,0.6648818968526091,0.5992982432642943,0.5668362664164702,0.5883291895741924,0.608322897529812,0.6968189349821434,0.534629995783019,0.6191331808499286,0.5675092918439724,0.5335207522691214,0.5202751064929818,0.5830254363679503,0.6403878201198684,0.6362979334152546,0.6366078975688994,0.7941041573650691,0.6403041995070308,0.724381226413448,0.5031673833303342,0.5655177256015401
しまなみ海道,0.5307569682750881,0.5734027096930049,0.5823659006229881,0.6211702439231215,0.4889854071807372,0.6947634408202872,0.6039409502394495,0.5422758640736637,0.5029906520127051,0.5600491312840874,0.5403304060900805,0.5241543207568152,0.5267072451378777,0.5877401559516972,0.6194643045674182,0.5466929108177008,0.6067827947153217,0.4890418463354766,0.4499455438284723,0.5485629011858766,0.4642552925586796,0.474665642449702
すみだ水族館,0.4852458322742237,0.5732647043161008,0.633448847743918,0.559529333691475,0.5634822026005082,0.5992565016470217,0.6304688798847264,0.723748618177689,0.6087497630693538,0.6173323698254812,0.590652454682078,0.5928574968927552,0.5605328189289462,0.6089871589936922,0.6673058580008051,0.6745923470666976,0.6695012031392981,0.7995191353771702,0.681302090853955,0.7201149889146986,0.5026100415005934,0.6004251321179594
とっとり花回廊,0.5993744245790835,0.6849824420974984,0.6273032769423627,0.5822639029718821,0.5267515405779918,0.5736474190059233,0.5802750028738931,0.6289627133811427,0.7918816259550485,0.6150195206941347,0.6262369547665174,0.6536012035653669,0.6123504798312214,0.6498684207501361,0.7312478300799764,0.8254597316847909,0.7130903149572614,0.7280949919202164,0.6884093605348744,0.727850802882446,0.5124704344441517,0.5522826087551911
なんばグランド花月,0.3756499758867713,0.387327301678988,0.3781597446887198,0.4061730983317436,0.3642931596909967,0.3604649799138447,0.414388441541594,0.4621620358360697,0.4670848809208984,0.42080199762287,0.4492932677167368,0.4596946404291202,0.4644080026111274,0.5256537167165978,0.5280567822706531,0.4966058099395885,0.5493505268201211,0.5588731407307138,0.542913724448126,0.6292393537922752,0.3547787928456242,0.5402173428482404
